,i94port_clean,i94_airport_name_clean,i94_state_clean
0,ALC,ALCAN,AK
1,ANC,ANCHORAGE,AK
2,BAR,BAKER AAF - BAKER ISLAND,AK
3,DAC,DALTONS CACHE,AK
4,PIZ,DEW STATION PT LAY DEW,AK
5,DTH,DUTCH HARBOR,AK
6,EGL,EAGLE,AK
7,FRB,FAIRBANKS,AK
8,HOM,HOMER,AK
9,HYD,HYDER,AK
10,JUN,JUNEAU,AK
11,5KE,KETCHIKAN,AK
12,KET,KETCHIKAN,AK
13,MOS,MOSES POINT INTERMEDIATE,AK
14,NIK,NIKISKI,AK
15,NOM,NOM,AK
16,PKC,POKER CREEK,AK
17,ORI,PORT LIONS SPB,AK
18,SKA,SKAGWAY,AK
19,SNP,ST. PAUL ISLAND,AK
20,TKI,TOKEEN,AK
21,WRA,WRANGELL,AK
22,HSV,MADISON COUNTY - HUNTSVILLE,AL
23,MOB,MOBILE,AL
24,LIA,LITTLE ROCK,AR (BPS)
25,ROG,ROGERS ARPT,AR
26,DOU,DOUGLAS,AZ
27,LUK,LUKEVILLE,AZ
28,MAP,MARIPOSA AZ,NaN
29,NAC,NACO,AZ
30,NOG,NOGALES,AZ
31,PHO,PHOENIX,AZ
32,POR,PORTAL,AZ
33,SLU,SAN LUIS,AZ
34,SAS,SASABE,AZ
35,TUC,TUCSON,AZ
36,YUI,YUMA,AZ
37,AND,ANDRADE,CA
38,BUR,BURBANK,CA
39,CAL,CALEXICO,CA
40,CAO,CAMPO,CA
41,FRE,FRESNO,CA
42,ICP,IMPERIAL COUNTY,CA
43,LNB,LONG BEACH,CA
44,LOS,LOS ANGELES,CA
45,BFL,MEADOWS FIELD - BAKERSFIELD,CA
46,OAK,OAKLAND,CA
47,ONT,ONTARIO,CA
48,OTM,OTAY MESA,CA
49,BLT,PACIFIC,NaN
50,PSP,PALM SPRINGS,CA
51,SAC,SACRAMENTO,CA
52,SLS,SALINAS,CA (BPS)
53,SDP,SAN DIEGO,CA
54,SFR,SAN FRANCISCO,CA
55,SNJ,SAN JOSE,CA
56,SLO,SAN LUIS OBISPO,CA
57,SLI,SAN LUIS OBISPO,CA (BPS)
58,SPC,SAN PEDRO,CA
59,SYS,SAN YSIDRO,CA
60,SAA,SANTA ANA,CA
61,STO,STOCKTON,CA (BPS)
62,TEC,TECATE,CA
63,TRV,TRAVIS-AFB,CA
64,APA,ARAPAHOE COUNTY,CO
65,ASE,ASPEN,CO #ARPT
66,COS,COLORADO SPRINGS,CO
67,DEN,DENVER,CO
68,DRO,LA PLATA - DURANGO,CO
69,BDL,BRADLEY INTERNATIONAL,CT
70,BGC,BRIDGEPORT,CT
71,GRT,GROTON,CT
72,HAR,HARTFORD,CT
73,NWH,NEW HAVEN,CT
74,NWL,NEW LONDON,CT
75,TST,NEWINGTON DATA CENTER TEST,CT
76,WAS,WASHINGTON DC,NaN
77,DOV,DOVER AFB,DE
78,DVD,DOVER-AFB,DE
79,WLL,WILMINGTON,DE
80,BOC,BOCAGRANDE,FL
81,SRQ,BRADENTON - SARASOTA,FL
82,CAN,CAPE CANAVERAL,FL
83,DAB,DAYTONA BEACH INTERNATIONAL,FL
84,FRN,FERNANDINA,FL
85,FTL,FORT LAUDERDALE,FL
86,FMY,FORT MYERS,FL
87,FPF,FORT PIERCE,FL
88,HUR,HURLBURT FIELD,FL
89,GNV,J R ALISON MUNI - GAINESVILLE,FL
90,JAC,JACKSONVILLE,FL
91,KEY,KEY WEST,FL
92,LEE,LEESBURG MUNICIPAL AIRPORT,FL
93,MLB,MELBOURNE,FL
94,MIA,MIAMI,FL
95,APF,NAPLES,FL #ARPT
96,OPF,OPA LOCKA,FL
97,ORL,ORLANDO,FL
98,PAN,PANAMA CITY,FL
99,PEN,PENSACOLA,FL
100,PCF,PORT CANAVERAL,FL
101,PEV,PORT EVERGLADES,FL
102,PSJ,PORT ST JOE,FL
103,SFB,SANFORD,FL
104,SGJ,ST AUGUSTINE ARPT,FL
105,SAU,ST AUGUSTINE,FL
106,FPR,ST LUCIE COUNTY,FL
107,SPE,ST PETERSBURG,FL
108,TAM,TAMPA,FL
109,WPB,WEST PALM BEACH,FL
110,ATL,ATLANTA,GA
111,BRU,BRUNSWICK,GA
112,AGS,BUSH FIELD - AUGUSTA,GA
113,SAV,SAVANNAH,GA
114,AGA,AGANA,GU
115,HHW,HONOLULU,HI
116,OGG,KAHULUI - MAUI,HI
