,i94cit_clean,i94_country_name_clean,iso_country_code_clean
0,582,MEXICO,484
1,236,AFGHANISTAN,4
2,101,ALBANIA,8
3,316,ALGERIA,12
4,102,ANDORRA,20
5,324,ANGOLA,24
6,529,ANGUILLA,660
7,518,ANTIGUA-BARBUDA,28
8,687,ARGENTINA,32
9,151,ARMENIA,51
10,532,ARUBA,533
11,438,AUSTRALIA,36
12,103,AUSTRIA,40
13,152,AZERBAIJAN,31
14,512,BAHAMAS,44
15,298,BAHRAIN,48
16,274,BANGLADESH,50
17,513,BARBADOS,52
18,104,BELGIUM,56
19,581,BELIZE,84
20,386,BENIN,204
21,509,BERMUDA,60
22,153,BELARUS,112
23,242,BHUTAN,64
24,688,BOLIVIA,68
25,717,"BONAIRE, ST EUSTATIUS, SABA",535
26,164,BOSNIA-HERZEGOVINA,70
27,336,BOTSWANA,72
28,689,BRAZIL,76
29,525,BRITISH VIRGIN ISLANDS,92
30,217,BRUNEI,96
31,105,BULGARIA,100
32,393,BURKINA FASO,854
33,243,BURMA,104
34,375,BURUNDI,108
35,310,CAMEROON,120
36,326,CAPE VERDE,132
37,526,CAYMAN ISLANDS,136
38,383,CENTRAL AFRICAN REPUBLIC,140
39,384,CHAD,148
40,690,CHILE,152
41,245,"CHINA, PRC",156
42,721,CURACAO,531
43,270,CHRISTMAS ISLAND,162
44,271,COCOS ISLANDS,166
45,691,COLOMBIA,170
46,317,COMOROS,174
47,385,CONGO,178
48,467,COOK ISLANDS,184
49,575,COSTA RICA,188
50,165,CROATIA,191
51,584,CUBA,192
52,218,CYPRUS,196
53,140,CZECH REPUBLIC,203
54,723,FAROE ISLANDS (PART OF DENMARK),234
55,108,DENMARK,208
56,322,DJIBOUTI,262
57,519,DOMINICA,212
58,585,DOMINICAN REPUBLIC,214
59,240,EAST TIMOR,626
60,692,ECUADOR,218
61,368,EGYPT,818
62,576,EL SALVADOR,222
63,399,EQUATORIAL GUINEA,226
64,372,ERITREA,232
65,109,ESTONIA,233
66,369,ETHIOPIA,231
67,604,FALKLAND ISLANDS,238
68,413,FIJI,242
69,110,FINLAND,246
70,111,FRANCE,250
71,601,FRENCH GUIANA,254
72,411,FRENCH POLYNESIA,258
73,387,GABON,266
74,338,GAMBIA,270
75,758,GAZA STRIP,0
76,154,GEORGIA,268
77,112,GERMANY,276
78,339,GHANA,288
79,143,GIBRALTAR,292
80,113,GREECE,300
81,520,GRENADA,308
82,507,GUADELOUPE,312
83,577,GUATEMALA,320
84,382,GUINEA,324
85,327,GUINEA-BISSAU,624
86,603,GUYANA,328
87,586,HAITI,332
88,726,HEARD AND MCDONALD IS.,334
89,149,HOLY SEE/VATICAN,336
90,528,HONDURAS,340
91,206,HONG KONG,344
92,114,HUNGARY,348
93,115,ICELAND,352
94,213,INDIA,356
95,759,INDIAN OCEAN AREAS (FRENCH),260
96,729,INDIAN OCEAN TERRITORY,86
97,204,INDONESIA,360
98,249,IRAN,364
99,250,IRAQ,368
100,116,IRELAND,372
101,251,ISRAEL,376
102,117,ITALY,380
103,388,IVORY COAST,384
104,514,JAMAICA,388
105,209,JAPAN,392
106,253,JORDAN,400
107,201,KAMPUCHEA,116
108,155,KAZAKHSTAN,398
109,340,KENYA,404
110,414,KIRIBATI,296
111,732,KOSOVO,0
112,272,KUWAIT,414
113,156,KYRGYZSTAN,417
114,203,LAOS,418
115,118,LATVIA,428
116,255,LEBANON,422
117,335,LESOTHO,426
118,370,LIBERIA,430
119,381,LIBYA,434
120,119,LIECHTENSTEIN,438
121,120,LITHUANIA,440
122,121,LUXEMBOURG,442
123,214,MACAU,446
124,167,MACEDONIA,807
125,320,MADAGASCAR,450
126,345,MALAWI,454
127,273,MALAYSIA,458
128,220,MALDIVES,462
129,392,MALI,466
130,145,MALTA,470
131,472,MARSHALL ISLANDS,584
132,511,MARTINIQUE,474
133,389,MAURITANIA,478
134,342,MAURITIUS,480
135,760,MAYOTTE (AFRICA - FRENCH),175
136,473,"MICRONESIA, FED. STATES OF",583
137,157,MOLDOVA,498
138,122,MONACO,492
139,299,MONGOLIA,496
140,735,MONTENEGRO,499
141,521,MONTSERRAT,500
142,332,MOROCCO,504
143,329,MOZAMBIQUE,508
144,371,NAMIBIA,516
145,440,NAURU,520
146,257,NEPAL,524
147,123,NETHERLANDS,528
148,508,NETHERLANDS ANTILLES,0
149,409,NEW CALEDONIA,540
150,464,NEW ZEALAND,554
151,579,NICARAGUA,558
152,390,NIGER,562
153,343,NIGERIA,566
154,470,NIUE,570
155,275,NORTH KOREA,408
156,124,NORWAY,578
157,256,OMAN,512
158,258,PAKISTAN,586
159,474,PALAU,585
160,743,PALESTINE,275
161,504,PANAMA,591
162,441,PAPUA NEW GUINEA,598
163,693,PARAGUAY,600
164,694,PERU,604
165,260,PHILIPPINES,608
166,416,PITCAIRN ISLANDS,612
167,107,POLAND,616
168,126,PORTUGAL,620
169,297,QATAR,634
170,748,REPUBLIC OF SOUTH SUDAN,728
171,321,REUNION,638
172,127,ROMANIA,642
173,158,RUSSIA,643
174,376,RWANDA,646
175,128,SAN MARINO,674
176,330,SAO TOME AND PRINCIPE,678
177,261,SAUDI ARABIA,682
178,391,SENEGAL,686
179,142,SERBIA AND MONTENEGRO,0
180,745,SERBIA,688
181,347,SEYCHELLES,690
182,348,SIERRA LEONE,694
183,207,SINGAPORE,702
184,141,SLOVAKIA,703
185,166,SLOVENIA,705
186,412,SOLOMON ISLANDS,90
187,397,SOMALIA,706
188,373,SOUTH AFRICA,710
189,276,SOUTH KOREA,410
190,129,SPAIN,724
191,244,SRI LANKA,144
192,346,ST. HELENA,654
193,522,ST. KITTS-NEVIS,659
194,523,ST. LUCIA,662
195,502,ST. PIERRE AND MIQUELON,666
196,524,ST. VINCENT-GRENADINES,670
197,716,SAINT BARTHELEMY,652
198,736,SAINT MARTIN,663
199,749,SAINT MAARTEN,534
200,350,SUDAN,729
201,602,SURINAME,740
202,351,SWAZILAND,748
203,130,SWEDEN,752
204,131,SWITZERLAND,756
205,262,SYRIA,760
206,268,TAIWAN,158
207,159,TAJIKISTAN,762
208,353,TANZANIA,834
209,263,THAILAND,764
210,304,TOGO,768
211,417,TONGA,776
212,516,TRINIDAD AND TOBAGO,780
213,323,TUNISIA,788
214,264,TURKEY,792
215,161,TURKMENISTAN,795
216,527,TURKS AND CAICOS ISLANDS,796
217,420,TUVALU,798
218,352,UGANDA,800
219,162,UKRAINE,804
220,296,UNITED ARAB EMIRATES,784
221,135,UNITED KINGDOM,826
222,695,URUGUAY,858
223,163,UZBEKISTAN,860
224,410,VANUATU,548
225,696,VENEZUELA,862
226,266,VIETNAM,704
227,469,WALLIS AND FUTUNA ISLANDS,876
228,757,WEST INDIES (FRENCH),0
229,333,WESTERN SAHARA,732
230,465,WESTERN SAMOA,882
231,216,YEMEN,887
232,139,YUGOSLAVIA,0
233,301,ZAIRE,0
234,344,ZAMBIA,894
235,315,ZIMBABWE,716
236,403,INVALID: AMERICAN SAMOA,0
237,712,INVALID: ANTARCTICA,0
238,700,INVALID: BORN ON BOARD SHIP,0
239,719,INVALID: BOUVET ISLAND (ANTARCTICA/NORWAY TERR.),0
240,574,INVALID: CANADA,0
241,720,INVALID: CANTON AND ENDERBURY ISLS,0
242,106,INVALID: CZECHOSLOVAKIA,0
243,739,INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY),0
244,394,INVALID: FRENCH SOUTHERN AND ANTARCTIC,0
245,501,INVALID: GREENLAND,0
